Country,value_usd,fiscal_year,trade_type
World total,174428419723.0,2024,export
Mexico,30036058634.0,2024,export
Canada,29003911560.0,2024,export
China,25744968423.0,2024,export
European Union-27,12389605121.0,2024,export
Japan,11850923166.0,2024,export
South Korea,8249113245.0,2024,export
Colombia,4225692762.0,2024,export
Philippines,3715640373.0,2024,export
Taiwan,3670480441.0,2024,export
Vietnam,3164364660.0,2024,export
Indonesia,3006355911.0,2024,export
India,2212468569.0,2024,export
United Kingdom,2117248884.0,2024,export
Dominican Republic,2101768247.0,2024,export
World total,178183697520.0,2023,export
China,33642827948.0,2023,export
Canada,28127967012.0,2023,export
Mexico,28026861869.0,2023,export
European Union-27,12227567983.0,2023,export
Japan,12174399983.0,2023,export
South Korea,7653949100.0,2023,export
Taiwan,3767548398.0,2023,export
Philippines,3500972989.0,2023,export
Colombia,3270255543.0,2023,export
Indonesia,2976517606.0,2023,export
Vietnam,2975900458.0,2023,export
Dominican Republic,2002019072.0,2023,export
United Kingdom,1906433903.0,2023,export
India,1742664763.0,2023,export
World total,196054947115.0,2022,export
China,36194672114.0,2022,export
Canada,28625848339.0,2022,export
Mexico,28041851051.0,2022,export
Japan,15230912633.0,2022,export
European Union-27,12660858921.0,2022,export
South Korea,9546788893.0,2022,export
Taiwan,4260283666.0,2022,export
Colombia,4181973423.0,2022,export
Philippines,3922194902.0,2022,export
Vietnam,3465752090.0,2022,export
Indonesia,3205382501.0,2022,export
Egypt,2786762867.0,2022,export
India,2416569108.0,2022,export
Dominican Republic,1978280899.0,2022,export
World total,171832633354.0,2021,export
China,33354901009.0,2021,export
Canada,24255911534.0,2021,export
Mexico,23869249951.0,2021,export
Japan,13509222404.0,2021,export
European Union-27,10589327993.0,2021,export
South Korea,9034428469.0,2021,export
Taiwan,3712784558.0,2021,export
Philippines,3581540824.0,2021,export
Vietnam,3564944498.0,2021,export
Indonesia,3067707289.0,2021,export
Colombia,3011889610.0,2021,export
Egypt,1844888693.0,2021,export
Hong Kong,1767716114.0,2021,export
Dominican Republic,1733052651.0,2021,export
World total,139724153422.0,2020,export
Canada,22016291650.0,2020,export
Mexico,18297323641.0,2020,export
China,16972738250.0,2020,export
Japan,11659817006.0,2020,export
European Union-27,10238087956.0,2020,export
South Korea,7637824887.0,2020,export
Vietnam,3437110812.0,2020,export
Taiwan,3266796901.0,2020,export
Philippines,3204874920.0,2020,export
Colombia,2907088138.0,2020,export
Indonesia,2705975527.0,2020,export
Hong Kong,2311041347.0,2020,export
Egypt,1756783090.0,2020,export
India,1738268075.0,2020,export
World total,140093712398.0,2019,export
Canada,22048278019.0,2019,export
Mexico,19218352188.0,2019,export
Japan,12408229556.0,2019,export
European Union-27,11543890059.0,2019,export
China,10109827232.0,2019,export
South Korea,8009524006.0,2019,export
Vietnam,3672327289.0,2019,export
Taiwan,3625149138.0,2019,export
Hong Kong,3527912950.0,2019,export
Philippines,2992978451.0,2019,export
Indonesia,2891513853.0,2019,export
Colombia,2749256124.0,2019,export
India,2111893357.0,2019,export
United Kingdom,1923534362.0,2019,export
World total,148619972245.0,2018,export
Canada,21837870152.0,2018,export
Mexico,19086316644.0,2018,export
China,16443206702.0,2018,export
Japan,12854714177.0,2018,export
European Union-27,11845647371.0,2018,export
South Korea,8126999516.0,2018,export
Hong Kong,4213882302.0,2018,export
Vietnam,3946040380.0,2018,export
Taiwan,3820529766.0,2018,export
Indonesia,3098570719.0,2018,export
Philippines,2943792278.0,2018,export
Colombia,2828591372.0,2018,export
Thailand,2143688098.0,2018,export
United Kingdom,1943330747.0,2018,export
World total,144780787996.0,2017,export
China,21884698222.0,2017,export
Canada,21599642974.0,2017,export
Mexico,18800165282.0,2017,export
Japan,12113534027.0,2017,export
European Union-27,10477083155.0,2017,export
South Korea,6958399392.0,2017,export
Hong Kong,4058567680.0,2017,export
Taiwan,3415251229.0,2017,export
Indonesia,2971094772.0,2017,export
Philippines,2714648183.0,2017,export
Colombia,2603507284.0,2017,export
Vietnam,2587416396.0,2017,export
United Kingdom,1900843716.0,2017,export
Thailand,1776520457.0,2017,export
World total,133718758167.0,2016,export
Canada,21472415817.0,2016,export
China,19510347261.0,2016,export
Mexico,17789337954.0,2016,export
Japan,11001664746.0,2016,export
European Union-27,10411895072.0,2016,export
South Korea,5800245333.0,2016,export
Hong Kong,3514391251.0,2016,export
Taiwan,3090376805.0,2016,export
Philippines,2599640081.0,2016,export
Vietnam,2389077807.0,2016,export
Indonesia,2374169691.0,2016,export
Colombia,2263430654.0,2016,export
United Kingdom,2023952338.0,2016,export
Thailand,1459141074.0,2016,export
World total,144067923765.0,2015,export
China,22651336949.0,2015,export
Canada,22627817397.0,2015,export
Mexico,18213500470.0,2015,export
Japan,12111697420.0,2015,export
European Union-27,11145944206.0,2015,export
South Korea,6590594531.0,2015,export
Hong Kong,3946846329.0,2015,export
Taiwan,3312897320.0,2015,export
Colombia,2589118244.0,2015,export
Philippines,2580459871.0,2015,export
Indonesia,2442147833.0,2015,export
Vietnam,2416596586.0,2015,export
United Kingdom,1987403475.0,2015,export
Thailand,1706500329.0,2015,export
World total,156849012504.0,2014,export
China,25728104688.0,2014,export
Canada,23198105413.0,2014,export
Mexico,19715638960.0,2014,export
Japan,13817369929.0,2014,export
European Union-27,11746174319.0,2014,export
South Korea,6971776336.0,2014,export
Hong Kong,4075153560.0,2014,export
Taiwan,3507344316.0,2014,export
Indonesia,2966526808.0,2014,export
Philippines,2891261595.0,2014,export
Colombia,2326108034.0,2014,export
Vietnam,2232134852.0,2014,export
Turkey,2119251063.0,2014,export
United Kingdom,1886607281.0,2014,export
World total,145082220916.0,2013,export
China,23380609440.0,2013,export
Canada,22873536983.0,2013,export
Mexico,18139183982.0,2013,export
Japan,12890548095.0,2013,export
European Union-27,10563357683.0,2013,export
South Korea,5234272647.0,2013,export
Hong Kong,3651010301.0,2013,export
Taiwan,3195403447.0,2013,export
Indonesia,2618035229.0,2013,export
Philippines,2479758445.0,2013,export
Turkey,2201558145.0,2013,export
Vietnam,2072943573.0,2013,export
United Kingdom,1879397106.0,2013,export
Egypt,1663165019.0,2013,export
World total,141199753451.0,2012,export
China,23413873694.0,2012,export
Canada,21327473942.0,2012,export
Mexico,19102892702.0,2012,export
Japan,14278867433.0,2012,export
European Union-27,8525466981.0,2012,export
South Korea,6256958392.0,2012,export
Hong Kong,3405985949.0,2012,export
Taiwan,3101388038.0,2012,export
Indonesia,2472401586.0,2012,export
Philippines,2297757344.0,2012,export
Turkey,1912798817.0,2012,export
United Kingdom,1800780235.0,2012,export
Egypt,1789737929.0,2012,export
Russia,1519639195.0,2012,export
World total,142089603594.0,2011,export
China,19942907498.0,2011,export
Canada,19743919634.0,2011,export
Mexico,17829549706.0,2011,export
Japan,14419671537.0,2011,export
European Union-27,9767127023.0,2011,export
South Korea,6776518651.0,2011,export
Taiwan,3626640303.0,2011,export
Hong Kong,3248747022.0,2011,export
Indonesia,2986680754.0,2011,export
Egypt,2975441398.0,2011,export
Turkey,2530419589.0,2011,export
Philippines,2024323990.0,2011,export
United Kingdom,1801910951.0,2011,export
Vietnam,1605908563.0,2011,export
World total,111238753927.0,2010,export
Canada,17321956075.0,2010,export
China,14994155991.0,2010,export
Mexico,14027487610.0,2010,export
Japan,11723760508.0,2010,export
European Union-27,7756730539.0,2010,export
South Korea,5017476024.0,2010,export
Taiwan,3198215502.0,2010,export
Hong Kong,2478562693.0,2010,export
Indonesia,2128074432.0,2010,export
Turkey,2001178208.0,2010,export
Philippines,1613946968.0,2010,export
Egypt,1569857260.0,2010,export
United Kingdom,1517379229.0,2010,export
Vietnam,1232304043.0,2010,export
World total,98644404690.0,2009,export
Canada,16166266494.0,2009,export
Mexico,13414121124.0,2009,export
Japan,11756595147.0,2009,export
China,11079828700.0,2009,export
European Union-27,6901274671.0,2009,export
