Country,value_usd,fiscal_year,trade_type
World total,206207275626.0,2024,import
Mexico,47872213561.0,2024,import
Canada,40577930414.0,2024,import
European Union-27,35250956448.0,2024,import
Brazil,7274988098.0,2024,import
China,5646876659.0,2024,import
Australia,5030129439.0,2024,import
Peru,4087205074.0,2024,import
Colombia,4045106304.0,2024,import
Indonesia,3921092763.0,2024,import
New Zealand,3537652985.0,2024,import
Thailand,3428992149.0,2024,import
Chile,3381610422.0,2024,import
India,3372120309.0,2024,import
Guatemala,2861052852.0,2024,import
World total,195333657355.0,2023,import
Mexico,44855294729.0,2023,import
Canada,39726440782.0,2023,import
European Union-27,33402526003.0,2023,import
Brazil,6400318395.0,2023,import
China,4349181829.0,2023,import
Australia,4290053303.0,2023,import
Indonesia,4255792866.0,2023,import
Colombia,4084942994.0,2023,import
Singapore,3787793728.0,2023,import
Peru,3559146876.0,2023,import
New Zealand,3545791611.0,2023,import
India,3069568411.0,2023,import
Thailand,3015811799.0,2023,import
Chile,3013934691.0,2023,import
World total,194137500777.0,2022,import
Mexico,42769750662.0,2022,import
Canada,36110295725.0,2022,import
European Union-27,35068880471.0,2022,import
Brazil,5954806001.0,2022,import
Indonesia,4851421540.0,2022,import
China,4847832421.0,2022,import
Australia,4264794483.0,2022,import
Colombia,4085211857.0,2022,import
Peru,3787740711.0,2022,import
Singapore,3683220318.0,2022,import
Chile,3522814604.0,2022,import
Thailand,3473027349.0,2022,import
India,3371405127.0,2022,import
New Zealand,3363756478.0,2022,import
World total,163321690214.0,2021,import
Mexico,36468644937.0,2021,import
European Union-27,31117622536.0,2021,import
Canada,29540374202.0,2021,import
Brazil,4531436739.0,2021,import
China,3991014304.0,2021,import
Singapore,3540898342.0,2021,import
Australia,3284370078.0,2021,import
Colombia,3139879495.0,2021,import
Indonesia,3053844316.0,2021,import
India,3044012380.0,2021,import
Chile,2956612016.0,2021,import
Peru,2922492229.0,2021,import
New Zealand,2804267411.0,2021,import
Thailand,2745166894.0,2021,import
World total,143402657062.0,2020,import
Mexico,31843905630.0,2020,import
European Union-27,27146010945.0,2020,import
Canada,24821235964.0,2020,import
Brazil,3870489873.0,2020,import
China,3715216216.0,2020,import
Australia,3463749091.0,2020,import
Singapore,3109173893.0,2020,import
Thailand,2784669436.0,2020,import
Chile,2757774984.0,2020,import
Peru,2702272252.0,2020,import
Colombia,2691641097.0,2020,import
India,2599031942.0,2020,import
New Zealand,2578474475.0,2020,import
Indonesia,2458967175.0,2020,import
World total,141436704887.0,2019,import
Mexico,29687540195.0,2019,import
European Union-27,28538832076.0,2019,import
Canada,24135343305.0,2019,import
China,4165687970.0,2019,import
Brazil,4048935868.0,2019,import
Australia,3428113805.0,2019,import
Singapore,3113380150.0,2019,import
Chile,2882229617.0,2019,import
United Kingdom,2787019594.0,2019,import
Colombia,2704086593.0,2019,import
India,2686349934.0,2019,import
Thailand,2490258354.0,2019,import
Peru,2442804880.0,2019,import
New Zealand,2388328257.0,2019,import
World total,136477563269.0,2018,import
Mexico,27172697088.0,2018,import
European Union-27,26875931809.0,2018,import
Canada,23616920598.0,2018,import
China,4802484849.0,2018,import
Brazil,3937338443.0,2018,import
Australia,3271375355.0,2018,import
Chile,3047821749.0,2018,import
Indonesia,2713856795.0,2018,import
India,2659481733.0,2018,import
New Zealand,2611167825.0,2018,import
Colombia,2573116651.0,2018,import
United Kingdom,2561516812.0,2018,import
Thailand,2346324333.0,2018,import
Vietnam,2336899396.0,2018,import
World total,127150993448.0,2017,import
Mexico,25353277257.0,2017,import
European Union-27,24367492929.0,2017,import
Canada,22598109686.0,2017,import
China,4444689972.0,2017,import
Brazil,3853254635.0,2017,import
Australia,3099912014.0,2017,import
Chile,2997541761.0,2017,import
Indonesia,2666632070.0,2017,import
New Zealand,2605784599.0,2017,import
Colombia,2597056297.0,2017,import
India,2517988541.0,2017,import
United Kingdom,2434838072.0,2017,import
Vietnam,2342722795.0,2017,import
Guatemala,2113245821.0,2017,import
World total,121083455740.0,2016,import
Mexico,23650443963.0,2016,import
European Union-27,23396034651.0,2016,import
Canada,22050429608.0,2016,import
China,4239185645.0,2016,import
Brazil,3797434477.0,2016,import
Australia,3370420872.0,2016,import
Chile,3030275051.0,2016,import
New Zealand,2593229314.0,2016,import
United Kingdom,2398905491.0,2016,import
Colombia,2298614691.0,2016,import
India,2098521725.0,2016,import
Thailand,2071405064.0,2016,import
Indonesia,2062998446.0,2016,import
Vietnam,1956301555.0,2016,import
World total,121611466710.0,2015,import
Canada,23027659377.0,2015,import
European Union-27,22507834193.0,2015,import
Mexico,21823276854.0,2015,import
Australia,4657473071.0,2015,import
China,4276495063.0,2015,import
Brazil,3952822252.0,2015,import
New Zealand,3011612348.0,2015,import
India,2964106234.0,2015,import
Chile,2817101518.0,2015,import
Colombia,2478830503.0,2015,import
United Kingdom,2302345467.0,2015,import
Thailand,2043083070.0,2015,import
Indonesia,2006081554.0,2015,import
Guatemala,1965182494.0,2015,import
World total,115888195470.0,2014,import
Canada,23491497746.0,2014,import
European Union-27,21503919516.0,2014,import
Mexico,19881480707.0,2014,import
China,4294056570.0,2014,import
Brazil,4225225212.0,2014,import
Australia,3349953347.0,2014,import
India,3016627735.0,2014,import
Chile,2760313055.0,2014,import
New Zealand,2478245496.0,2014,import
Colombia,2363469508.0,2014,import
United Kingdom,2213269576.0,2014,import
Thailand,1912575990.0,2014,import
Indonesia,1869308370.0,2014,import
Guatemala,1859225385.0,2014,import
World total,111001676791.0,2013,import
Canada,22188586922.0,2013,import
European Union-27,20190454148.0,2013,import
Mexico,18068786041.0,2013,import
Brazil,5391868676.0,2013,import
China,4429623690.0,2013,import
India,3723570260.0,2013,import
Chile,2855553496.0,2013,import
Australia,2725235388.0,2013,import
New Zealand,2195744025.0,2013,import
Colombia,2147233643.0,2013,import
United Kingdom,2054417555.0,2013,import
Guatemala,1847614113.0,2013,import
Thailand,1830044556.0,2013,import
Argentina,1829245048.0,2013,import
World total,108342073702.0,2012,import
Canada,20551746208.0,2012,import
European Union-27,19305404755.0,2012,import
Mexico,17064393675.0,2012,import
India,5408482659.0,2012,import
Brazil,5031173255.0,2012,import
China,4283240240.0,2012,import
Australia,2563487581.0,2012,import
Chile,2509897877.0,2012,import
Colombia,2343169078.0,2012,import
New Zealand,2190523672.0,2012,import
Malaysia,1998691382.0,2012,import
United Kingdom,1993656829.0,2012,import
Guatemala,1941532415.0,2012,import
Argentina,1743130143.0,2012,import
World total,97464705068.0,2011,import
Canada,18496356979.0,2011,import
European Union-27,18240209055.0,2011,import
Mexico,16199680665.0,2011,import
China,3844942405.0,2011,import
Brazil,3830795987.0,2011,import
Australia,2363986810.0,2011,import
Colombia,2349062423.0,2011,import
Chile,2331365380.0,2011,import
India,2288257019.0,2011,import
Malaysia,2218572846.0,2011,import
New Zealand,1951123527.0,2011,import
