Country,value_usd,fiscal_year,trade_type
World total,174428419723.0,2024,export
Mexico,30036058634.0,2024,export
Canada,29003911560.0,2024,export
China,25744968423.0,2024,export
European Union-27,12389605121.0,2024,export
Japan,11850923166.0,2024,export
South Korea,8249113245.0,2024,export
Colombia,4225692762.0,2024,export
Philippines,3715640373.0,2024,export
Taiwan,3670480441.0,2024,export
Vietnam,3164364660.0,2024,export
Indonesia,3006355911.0,2024,export
India,2212468569.0,2024,export
United Kingdom,2117248884.0,2024,export
Dominican Republic,2101768247.0,2024,export
