Country,value_usd,fiscal_year,trade_type
World total,206207275626.0,2024,import
Mexico,47872213561.0,2024,import
Canada,40577930414.0,2024,import
European Union-27,35250956448.0,2024,import
Brazil,7274988098.0,2024,import
China,5646876659.0,2024,import
Australia,5030129439.0,2024,import
Peru,4087205074.0,2024,import
Colombia,4045106304.0,2024,import
Indonesia,3921092763.0,2024,import
New Zealand,3537652985.0,2024,import
Thailand,3428992149.0,2024,import
Chile,3381610422.0,2024,import
India,3372120309.0,2024,import
Guatemala,2861052852.0,2024,import
